text,label
76,0
96,0
"=?,@{",0
61,0
38,0
",_",0
Na0.53V0.74Mo0.26O2,1
36,0
occulter,0
22,0
Na0.1Rh0.55Zr0.32Tc0.13O2,1
frammit,0
Aeolian,0
Na0.09Cr0.71Fe0.11Ni0.18O2,1
\$!,0
:<^*),0
weekwam,0
",]**",0
55,0
Na0.07V0.57Nb0.43O2,1
brawling,0
contrastive,0
scrub,0
Na0.82RhO2,1
Na1.0IrO2,1
Na0.97Zr0.19Mn0.76Nb0.05O2,1
scrimer,0
71,0
87,0
bollard,0
burdock,0
28,0
nontaxonomic,0
52,0
Na0.01Re0.99Rh0.01V0.0O2,1
29,0
*;^)#,0
62,0
11,0
57,0
Baubo,0
84,0
",%:[-",0
58,0
Na0.74Rh0.5Cr0.27Pt0.23O2,1
Na0.09TaO2,1
Na0.58Mo0.09Mn0.51Pd0.4O2,1
_,0
1,0
".!;""\",0
atwist,0
Dilantin,0
65,0
95,0
Na0.65V0.61Rh0.11Pt0.28O2,1
pseudobulbil,0
37,0
)>*),0
"_""%,",0
+,0
32,0
4,0
Na0.27ReO2,1
NaxCo0.74Rh0.26O2,1
79,0
unisilicate,0
unapplicableness,0
-^-,0
predecay,0
17,0
60,0
Na0.54Re0.78V0.2Pt0.02O2,1
_{,0
29,0
!,0
NaxPd0.82Ni0.18O2,1
",]_",0
\',0
nonsyntactic,0
85,0
tideward,0
[,0
50,0
;,0
Na0.63Os0.91Cr0.03W0.06O2,1
")-{""<",0
chopstick,0
Na0.5W0.92V0.05Rh0.03O2,1
=]<+,0
ultramodest,0
37,0
Na0.95Mn0.05Ru0.6Pd0.35O2,1
*?%,0
49,0
Haussmannize,0
NaxNiO2,1
Gertrude,0
vicarian,0
Procellariidae,0
3,0
microzoon,0
48,0
NaxVO2,1
NaxZrO2,1
_,0
16,0
Na0.1Co0.31Mn0.58Tc0.11O2,1
derivation,0
hirsuties,0
0,0
99,0
capreolary,0
"""",0
]{?,0
:,0
19,0
+|,0
Na0.89FeO2,1
circumciser,0
46,0
uneleemosynary,0
<,0
0,0
(,0
jert,0
=_?,0
82,0
arthrodial,0
]{,0
",",0
89,0
Na1.0TaO2,1
",%?;=",0
&${_,0
Na0.59NbxMn1-xO2,1
?$),0
[$!{,0
archchief,0
NaxNbO2,1
61,0
27,0
virtueproof,0
cumulatively,0
NaxHfxRe1-xO2,1
helianthaceous,0
toothlessness,0
5,0
drupetum,0
Dashnak,0
!|,0
62,0
"}""<",0
Na0.83Mo0.53Nb0.47O2,1
50,0
Na0.52Pd0.29Rh0.71O2,1
Na0.16HfO2,1
cumol,0
22,0
96,0
/|},0
80,0
59,0
quatern,0
NaxTa0.26Os0.74O2,1
Castalian,0
]=},0
vetusty,0
loculate,0
Wanyamwezi,0
48,0
Na0.92HfPt0.0O2,1
prohaste,0
Na0.19FeO2,1
clothespress,0
27,0
12,0
39,0
Na0.68W0.91Rh0.04Pt0.05O2,1
morphological,0
Na0.76Re0.01Ta0.99O2,1
28,0
82,0
Na0.58Os0.58Ta0.29Ru0.13O2,1
+.?@\,0
*_,0
Na0.07CrO2,1
\_&)#,0
|,0
"@^,?",0
11,0
exiledom,0
",",0
}{,0
58,0
95,0
Aphanes,0
32,0
metranemia,0
22,0
prosaically,0
<,0
glumaceous,0
moldery,0
NaxPdO2,1
Na0.99CoxPd1-xO2,1
21,0
parisis,0
principulus,0
muscosity,0
66,0
+,0
/}@,0
touchpan,0
prorsad,0
magnoliaceous,0
aragonite,0
Giovanni,0
70,0
Tragelaphus,0
+(,0
%,0
Filipinization,0
approximatively,0
94,0
terminus,0
50,0
NaxRu0.08Tc0.86W0.06O2,1
",,>",0
19,0
18,0
59,0
Na0.39Nb0.4Os0.6O2,1
@;,0
54,0
NaxTaO2,1
labis,0
Na0.66WO2,1
&(_+},0
hellship,0
_,0
Na0.93Cr0.22Ru0.22Nb0.56O2,1
0,0
greenroom,0
%>).,0
_.*,0
tasajo,0
<,0
"-^.-,",0
!--#{,0
Na0.18Co0.92Os0.08O2,1
@!,0
Na0.34Os0.02Tc0.19Fe0.79O2,1
46,0
semipinnate,0
>)'{,0
19,0
priestianity,0
swanny,0
terbia,0
Na0.44Pt0.66Nb0.34O2,1
welcomeless,0
tungstosilicate,0
90,0
conjunctur,0
Na0.93Re0.05Mn0.95O2,1
NaxHf0.57Zr0.43O2,1
Na0.75Re0.5Mn0.36Ni0.14O2,1
Na0.07Os0.18Co0.82O2,1
.,0
arthropathic,0
62,0
:*|\,0
unmalleableness,0
";,",0
{_&*',0
|,0
36,0
^,0
hypsilophodontoid,0
!,0
jibby,0
delater,0
52,0
.,0
<{-(),0
pelves,0
\*$,0
100,0
(:],0
Na0.79MnO2,1
Na0.79TaO2,1
"""/^@",0
76,0
NaxIr0.69Tc0.2Ru0.11O2,1
unbeauteous,0
Na0.74RuO2,1
Na0.54Nb0.07V0.93O2,1
/|_\,0
}(,0
36,0
Na0.57Ta0.14Os0.86O2,1
/,0
Galeopithecus,0
99,0
Na0.9Tc0.09Mn0.91O2,1
.@,0
untechnicalize,0
heuristically,0
rebarbative,0
\<:\,0
speltoid,0
^,0
75,0
98,0
22,0
examine,0
Na0.94FeyMn1-yO2,1
<)'_[,0
Na0.83CryFe1-yO2,1
30,0
lordliness,0
mesodermic,0
(|=+&,0
Na0.5Co0.41Hf0.04Mo0.55O2,1
43,0
Na0.52Co0.97Zr0.03O2,1
relation,0
betrothed,0
Na0.08Os0.62Hf0.03Mn0.35O2,1
}#,0
informality,0
27,0
Pestalozzianism,0
NaxPdO2,1
"&""+",0
symbolicalness,0
stolelike,0
predismiss,0
?-.-,0
5,0
"))[,",0
Protohemiptera,0
Na0.9PtyCr1-yO2,1
],0
[_(,0
Na0.45OsyRu1-yO2,1
!),0
Na0.7MoxRu1-xO2,1
overgross,0
dramseller,0
-\(<&,0
50,0
enanthesis,0
*{,0
translocate,0
33,0
61,0
supercolumnar,0
100,0
superhistorical,0
100,0
#}\,0
Na0.16Re0.06Fe0.14Pt0.8O2,1
Na0.82Nb0.24Ir0.76O2,1
94,0
multiflow,0
NaxRe0.93Ta0.02Mo0.05O2,1
27,0
56,0
subintroduction,0
owlish,0
\,0
Na0.23Rh0.19Fe0.08Hf0.73O2,1
{[;,0
.*,0
"./>""|",0
foliaged,0
0,0
Na0.75CoO2,1
praemolar,0
}/{,0
Na0.6Mo0.19Ta0.81O2,1
Lleu,0
"),",0
?>^%,0
]?&+,0
NaxRe0.13V0.38Rh0.49O2,1
}+<*,0
anhydridization,0
atmidometry,0
hylophagous,0
;;:*#,0
",",0
NaxVO2,1
91,0
8,0
pertinency,0
2,0
niceness,0
Na0.91Ru0.14Nb0.86O2,1
72,0
].'?*,0
90,0
@.\[,0
Na0.67PdyCr1-yO2,1
!,0
loathliness,0
ossuarium,0
Na0.8Ir0.52Cr0.15Co0.33O2,1
Na0.33Mn0.93Co0.02Cr0.05O2,1
87,0
spinach,0
Na0.6Pt0.29Pd0.68Nb0.03O2,1
35,0
70,0
82,0
74,0
42,0
43,0
47,0
snoreless,0
heterochthon,0
:/,0
Na0.31W0.15Tc0.69Pd0.16O2,1
embannered,0
30,0
#)}|,0
Tadjik,0
copping,0
NaxRh0.89W0.11O2,1
sumption,0
Na0.64Tc0.07Ta0.93O2,1
monophthongal,0
Na0.03FeyPd1-yO2,1
Na0.61HfO2,1
82,0
51,0
_*,0
Na0.94RhO2,1
sulfadiazine,0
^{(,0
unbeliever,0
").'%,",0
Na0.63IrO2,1
coccal,0
NaxMo0.63W0.26Fe0.11O2,1
>:$%),0
mononch,0
streen,0
Bassalian,0
Na0.18Co0.62Hf0.38O2,1
67,0
"_,]",0
34,0
58,0
/,0
(,0
26,0
=)'|[,0
Na0.83Hf0.94Os0.04Pd0.02O2,1
Na0.06Ru0.05Ir0.55Mo0.4O2,1
Silybum,0
Cariban,0
Circassian,0
$,0
12,0
83,0
Na0.24TaO2,1
]\!_$,0
Na0.88Os0.82Hf0.18O2,1
15,0
8,0
careering,0
Na0.92V0.48Co0.38W0.14O2,1
21,0
&%#,0
Na0.83W0.12Pd0.78Hf0.1O2,1
27,0
whilom,0
Na0.91NbO2,1
quilling,0
:?+{+,0
Oedemeridae,0
66,0
{=,0
repellency,0
Fuligulinae,0
tirwit,0
{[,0
hemopoietic,0
"{,)",0
rudderhead,0
expansile,0
:^_$,0
[,0
Na0.48Ta0.91Cr0.09O2,1
89,0
75,0
thirdly,0
18,0
Budukha,0
paracusia,0
dermestid,0
scapholunar,0
NaxIrO2,1
35,0
!/--;,0
})<,0
Na0.88WO2,1
'_,0
25,0
uppish,0
38,0
@*,0
isotonicity,0
54,0
44,0
Pantagruelically,0
tripaleolate,0
Na0.69HfO2,1
$\?,0
-<%&$,0
Na0.1Zr0.53Re0.47O2,1
daftly,0
Na0.7PtO2,1
68,0
:=,0
";,",0
#,0
phillipsine,0
'..,0
countergirded,0
9,0
**)#(,0
sadism,0
kinetography,0
Na0.04Rh0.45Co0.55O2,1
"<,",0
NaxW0.69Fe0.25Nb0.06O2,1
commutative,0
68,0
_\;,0
Na0.84Zr0.83Pd0.15Ni0.02O2,1
"*!""!$",0
Na0.58Hf0.74Pt0.26O2,1
64,0
74,0
55,0
^,0
pakeha,0
",<@!)",0
Na0.51HfO2,1
Na0.38MnyNb1-yO2,1
Heracleidan,0
NaxOsO2,1
Na0.37Mn0.57Nb0.38Ni0.05O2,1
hollandite,0
($[:,0
sallyman,0
Na0.84Nb0.51Ir0.4Re0.09O2,1
NaxNi0.73Tc0.2Pt0.07O2,1
-,0
Na0.67Ta0.91Ir0.09O2,1
Na0.41Mo0.49Zr0.49Ta0.02O2,1
88,0
Na0.36Nb0.78V0.22O2,1
73,0
^)&/,0
14,0
62,0
sistrum,0
NaxTaO2,1
94,0
Na0.64CrO2,1
Na0.53Ir0.64Pt0.36O2,1
arsenal,0
NaxZryCo1-yO2,1
anaudia,0
88,0
Na0.33Tc0.58Ta0.15V0.27O2,1
emblematize,0
sopition,0
/:>,0
],0
Na0.64V0.67Ir0.33O2,1
Na0.5Pt0.21Hf0.14Re0.65O2,1
13,0
NaxCr0.83Nb0.17O2,1
64,0
79,0
3,0
37,0
<#@,0
">""#'",0
8,0
80,0
45,0
Na0.21Zr0.83Ir0.16Tc0.01O2,1
8,0
Na0.18Co0.3Ir0.7O2,1
42,0
Na0.34Hf0.92Pd0.08Os-0.0O2,1
&[,0
Na0.29V0.68W0.29Tc0.03O2,1
Manhattanize,0
35,0
?^:],0
%,0
38,0
43,0
)!,0
"*,_*",0
Gothicity,0
19,0
|,0
Na0.31Re0.6Os0.19Mo0.21O2,1
redraft,0
Na0.98Fe0.51Re0.03Ru0.46O2,1
saintologist,0
.('[,0
lunarium,0
",/",0
NaxRh0.81W0.19O2,1
*,0
66,0
+&},0
Manchesterism,0
octamerous,0
0,0
Na0.73V0.95Re0.05O2,1
Na0.9Ni0.03Fe0.04Zr0.93O2,1
",:-@>",0
54,0
",",0
59,0
Na0.3CoO2,1
22,0
pneumatophore,0
""",",0
hagi,0
kamptomorph,0
Na0.33HfO2,1
78,0
24,0
pall,0
75,0
unaggressiveness,0
;(,0
overreligion,0
91,0
Na0.65Ta0.26Mo0.66Ni0.08O2,1
Na0.84Ru0.72Rh0.28O2,1
osteogenic,0
_&({,0
87,0
bebouldered,0
92,0
Na0.32Fe0.86Cr0.14O2,1
_,0
Ata,0
*]|^,0
70,0
egret,0
=@,0
97,0
Na0.12VO2,1
Xmas,0
94,0
semicordated,0
uneradicated,0
79,0
&,0
12,0
27,0
38,0
NaxCr0.06Mn0.09Co0.85O2,1
{{,0
lissotrichy,0
'#<,0
&],0
100,0
Na0.71Pd0.54Fe0.46O2,1
Na0.57Ta0.58Pd0.42O2,1
56,0
gastrophilite,0
gayish,0
45,0
krypton,0
unstoken,0
NaxTcO2,1
torpor,0
41,0
35,0
cionitis,0
{{,0
30,0
childlessness,0
"%[>""",0
Na0.01V0.29W0.71O2,1
"@;,;",0
Na0.49W0.79V0.02Os0.19O2,1
Piprinae,0
',0
timetable,0
Na0.74Ta0.13Zr0.84Ir0.03O2,1
thrips,0
subheadwaiter,0
80,0
",",0
chamoline,0
@-$,0
39,0
kinnikinnick,0
transilient,0
aerodynamics,0
"""?""+=",0
semiconformist,0
Na0.65IrO2,1
Na0.06Ta0.87Os0.13Zr0.0O2,1
&-,0
Na0.17Ru0.91Ni0.06Re0.03O2,1
73,0
%*},0
_|,0
outsuck,0
77,0
56,0
95,0
"'{',^",0
](_,0
glaga,0
tintinnabulist,0
":_:,]",0
86,0
NaxReO2,1
"|""/",0
<)\,0
83,0
81,0
Na0.42Hf0.55Re0.09Nb0.36O2,1
NaxOs0.56Re0.44O2,1
71,0
Na0.52FeO2,1
%=[|\,0
48,0
70,0
88,0
Na0.06Co0.49Mn0.51O2,1
68,0
&?\<,0
Na0.59Mn0.69Pt0.24Zr0.07O2,1
22,0
!#?,0
Na0.01RhO2,1
corder,0
"&#,",0
54,0
clothmaker,0
Na0.3CryNi1-yO2,1
#,0
Na0.63Nb0.7Re0.3O2,1
{,0
!].,0
.]#,0
Pullmanize,0
5,0
:\%&,0
")""}",0
differentiation,0
eupatridae,0
nighttime,0
Na0.23VO2,1
cobberer,0
Na0.9Co0.84Mo0.16O2,1
'$!,0
54,0
Na0.09Pt0.62Re0.09Tc0.29O2,1
&@=,0
lustrine,0
walleyed,0
NaxWO2,1
equality,0
Na0.33Tc0.46Ni0.27Nb0.27O2,1
highish,0
46,0
7,0
stolidity,0
littermate,0
NaxZr0.14V0.61Mn0.25O2,1
19,0
bejabers,0
63,0
Na0.29W0.41Cr0.59O2,1
idyllian,0
&,0
overtender,0
Na0.45Tc0.21Ta0.55W0.24O2,1
mollifier,0
anematosis,0
",-:}",0
Beroidae,0
31,0
='-|;,0
:*)=*,0
($#,0
96,0
Reptilia,0
93,0
@,0
34,0
cretionary,0
extratelluric,0
Vergilianism,0
[+%(%,0
Georgian,0
$,0
crammer,0
Na0.46Ta0.85Ir0.15O2,1
moonward,0
[[,0
Na0.64Ni0.84Co0.12Zr0.04O2,1
achromatopsy,0
91,0
$,0
heteropoly,0
>?+{,0
Na0.2Pd0.61Re0.14Nb0.25O2,1
"$""=",0
85,0
9,0
inharmoniously,0
caroche,0
84,0
hydrogenolysis,0
Na0.58W0.98Ir0.01V0.01O2,1
-(^{^,0
quintessential,0
Na0.82Ir0.07Co0.83Ru0.1O2,1
indemnify,0
&//,0
68,0
Na0.06OsO2,1
overgratify,0
Na0.1IrO2,1
motion,0
Na0.08Ni0.6Hf0.33Mo0.07O2,1
Na0.2Pt0.63Co0.26Tc0.11O2,1
Na0.47Cr0.6W0.08Pd0.32O2,1
sephiric,0
83,0
pintado,0
;,0
*,0
|.,0
_[&,0
/),0
3,0
gingili,0
Podophthalma,0
',0
22,0
46,0
marm,0
?'^}^,0
!|{,0
<,0
100,0
'{;,0
[,0
Na0.02Ru0.25Ir0.36Pd0.39O2,1
Na0.8Ir0.25Fe0.75O2,1
63,0
deprecatorily,0
*],0
praetorian,0
@*.,0
hyposecretion,0
$=/-,0
",",0
NaxFeO2,1
Na0.45NbO2,1
}*,0
Frankliniana,0
leptonecrosis,0
sapful,0
Na0.53HfO2,1
mercy,0
monorailroad,0
resmell,0
Na0.15Nb0.55Pd0.45O2,1
dominium,0
tenebrity,0
!{,0
77,0
Na0.57Mn0.19Tc0.13V0.68O2,1
90,0
manistic,0
\*?*,0
Na0.57Co0.17V0.83O2,1
semimute,0
mintman,0
pepperproof,0
99,0
92,0
90,0
98,0
{%,0
/=,0
Na0.38Tc0.79Fe0.21O2,1
Na0.66Co0.69Mo0.04Nb0.27O2,1
Na0.73PtO2,1
shanked,0
<)$,0
31,0
Na0.62Rh0.09Re0.91O2,1
85,0
"]<,&{",0
Na0.25Ta0.31Re0.69O2,1
Na0.91PdO2,1
Na0.84FeO2,1
>&,0
pycnospore,0
',0
Na0.1IrO2,1
Na0.5NbyZr1-yO2,1
resistful,0
27,0
Na0.75Pt0.38Ni0.62O2,1
[]$\=,0
32,0
63,0
harmonichord,0
10,0
{$^',0
*@[!,0
4,0
nucleolar,0
emeership,0
acantha,0
Na0.32Hf0.15Zr0.85O2,1
54,0
NaxCrO2,1
chloramine,0
Na0.86IrO2,1
^,0
breunnerite,0
<!),0
%+.$|,0
Winnie,0
testable,0
/*,0
56,0
10,0
"_]},",0
Na0.81Pt0.17Re0.82Nb0.01O2,1
"""",0
!,0
^%\,0
95,0
Na0.63Rh0.41Ru0.06Mn0.53O2,1
69,0
obtruder,0
30,0
axilla,0
microgranulitic,0
solitarily,0
"""",0
$<-=,0
cosmolatry,0
scrawm,0
47,0
45,0
$*-!,0
;]*,0
*],0
44,0
swanner,0
"&#,",0
38,0
?#),0
77,0
72,0
;;^/,0
confider,0
Na0.82HfO2,1
?(,0
Na0.65VO2,1
Na0.27NbO2,1
zelatrix,0
2,0
NaxWyTa1-yO2,1
unfatherly,0
}[:]:,0
unprofited,0
\,0
transshape,0
49,0
|>-*|,0
(^,0
restward,0
hancockite,0
osteocele,0
granulize,0
nonformulation,0
92,0
monogonoporic,0
55,0
73,0
@,0
99,0
7,0
strontianiferous,0
"<$""$*",0
92,0
39,0
Na0.64VO2,1
NaxTc0.56Rh0.44O2,1
Na0.26Cr0.39Ni0.61O2,1
a,0
Na0.21Ru0.72Ni0.23Pd0.05O2,1
94,0
canions,0
1,0
Na0.19PtO2,1
anaplasia,0
;(,0
squirelike,0
unrepelled,0
7,0
[$-+{,0
Galeorhinidae,0
Na0.11Co0.03Ru0.03Ir0.94O2,1
60,0
37,0
64,0
ush,0
&,0
100,0
73,0
:^{,0
],0
|,0
26,0
^+[=_,0
Na0.73Nb0.02Cr0.54V0.44O2,1
Judaist,0
48,0
isothiocyanic,0
redressless,0
Na0.34Mo0.88V0.01Mn0.11O2,1
cockarouse,0
66,0
summery,0
")(,",0
!,0
helix,0
4,0
Na0.53Ni0.62Mn0.05Pt0.33O2,1
Panamic,0
Metaurus,0
#];^/,0
99,0
99,0
21,0
";,",0
(__$;,0
46,0
kamelaukion,0
96,0
NaxOsO2,1
"*:.{""",0
+[/#,0
*%(=\,0
@#>[,0
ankylodactylia,0
91,0
intersegmental,0
sulfopurpuric,0
\,0
30,0
NaxMn0.08Hf0.92O2,1
NaxCoO2,1
_?''),0
81,0
Na0.55HfO2,1
83,0
unworth,0
Na0.22Os0.71Mo0.29O2,1
41,0
uncancelled,0
parella,0
59,0
Petrinism,0
85,0
ultranatural,0
recalescence,0
41,0
gutti,0
44,0
-^,0
redenigrate,0
60,0
_,0
bridemaid,0
'()%,0
[/\(^,0
@:$,0
peccary,0
Na0.9PdO2,1
/,0
26,0
48,0
12,0
sheepish,0
=--#+,0
!|,0
Na0.71Hf0.63Rh0.26Re0.11O2,1
26,0
canoncito,0
cobwork,0
theropodous,0
'?/+<,0
&.),0
Na0.76RuyCo1-yO2,1
73,0
39,0
preidentify,0
68,0
midwifery,0
82,0
18,0
37,0
Na0.51IrO2,1
<$.,0
spectralism,0
Na0.73OsyTa1-yO2,1
"""{?",0
[,0
74,0
61,0
"(""/",0
Uncompahgre,0
thomsonite,0
96,0
Na0.49IryW1-yO2,1
Na0.16Os0.11Nb0.89O2,1
15,0
Na0.64WO2,1
Na0.68Pd0.89Fe0.09Os0.02O2,1
%-(,0
57,0
",!""""]",0
"?,#",0
76,0
Na0.42RhO2,1
Na0.73Re0.16Zr0.49Hf0.35O2,1
:,0
Na0.34Os0.78V0.22O2,1
methylenitan,0
Na0.72PtO2,1
|-|{,0
@_^,0
.<][},0
Juyas,0
dinder,0
#),0
40,0
jammer,0
NaxMoO2,1
39,0
67,0
titleproof,0
<^,0
sulphotungstic,0
climatography,0
Punjabi,0
cheerfully,0
nonconcurrency,0
.%\,0
gonyoncus,0
96,0
(<[@,0
=,0
'\}|$,0
"""-*]]",0
38,0
bigot,0
=%,0
60,0
Na0.59OsO2,1
umbel,0
NaxZr0.69Nb0.31O2,1
burgensic,0
Gascon,0
0,0
NaxMn0.5Re0.5O2,1
20,0
18,0
$@*%,0
21,0
-#(|,0
|,0
NaxRe0.09Tc0.91O2,1
percnosome,0
3,0
41,0
81,0
NaxMn0.24Co0.76O2,1
80,0
";""\${",0
:,0
16,0
7,0
dasypaedes,0
shiftlessness,0
egocentric,0
82,0
{!)}=,0
42,0
aphorizer,0
Agnatha,0
_]#,0
electroencephalograph,0
perhydroanthracene,0
singability,0
47,0
NaxW0.49Mn0.51O2,1
>=?,0
injurable,0
"?<,",0
26,0
Na0.53RhO2,1
emphraxis,0
|],0
2,0
Na0.25Nb0.25Ir0.54Ru0.21O2,1
59,0
51,0
!*<,0
\},0
Na0.33Cr0.69Fe0.31O2,1
anthropopathia,0
